ts,host,mem_free
2019-04-01T00:00:00-06:00,r1i0n0,92293676.64
2019-04-01T01:00:00-06:00,r1i0n0,92294307.73
2019-04-01T02:00:00-06:00,r1i0n0,92294532.73
2019-04-01T03:00:00-06:00,r1i0n0,92294850.05
2019-04-01T04:00:00-06:00,r1i0n0,92294281.92
2019-04-01T05:00:00-06:00,r1i0n0,92295487.27
2019-04-01T06:00:00-06:00,r1i0n0,92296525.03
2019-04-01T07:00:00-06:00,r1i0n0,92296588.86
2019-04-01T08:00:00-06:00,r1i0n0,92298070.37
2019-04-01T09:00:00-06:00,r1i0n0,92094944.86
2019-04-01T10:00:00-06:00,r1i0n0,81551252.66
2019-04-01T11:00:00-06:00,r1i0n0,92299903.24
2019-04-01T12:00:00-06:00,r1i0n0,92302132.54
2019-04-01T13:00:00-06:00,r1i0n0,92302514.34
2019-04-01T14:00:00-06:00,r1i0n0,92278331.19
2019-04-01T15:00:00-06:00,r1i0n0,86944565.91
2019-04-01T16:00:00-06:00,r1i0n0,86177244.22
2019-04-01T17:00:00-06:00,r1i0n0,92672806.85
2019-04-01T18:00:00-06:00,r1i0n0,92671221.05
2019-04-01T19:00:00-06:00,r1i0n0,92669812.82
2019-04-01T20:00:00-06:00,r1i0n0,92666974.52
2019-04-01T21:00:00-06:00,r1i0n0,92668264.86
2019-04-01T22:00:00-06:00,r1i0n0,92667670.2
2019-04-01T23:00:00-06:00,r1i0n0,92665029.48
2019-04-02T00:00:00-06:00,r1i0n0,92665815.73
2019-04-02T01:00:00-06:00,r1i0n0,92665729.08
2019-04-02T02:00:00-06:00,r1i0n0,92664778.52
2019-04-02T03:00:00-06:00,r1i0n0,92663574.94
2019-04-02T04:00:00-06:00,r1i0n0,92663288.32
2019-04-02T05:00:00-06:00,r1i0n0,92662988.25
2019-04-02T06:00:00-06:00,r1i0n0,92663008.32
2019-04-02T07:00:00-06:00,r1i0n0,92663486.79
2019-04-02T08:00:00-06:00,r1i0n0,92663343.82
2019-04-02T09:00:00-06:00,r1i0n0,92663802.1
2019-04-02T10:00:00-06:00,r1i0n0,92665126.94
2019-04-02T11:00:00-06:00,r1i0n0,92663440.22
2019-04-02T12:00:00-06:00,r1i0n0,92663334.14
2019-04-02T13:00:00-06:00,r1i0n0,92662015.4
2019-04-02T14:00:00-06:00,r1i0n0,92662803.69
2019-04-02T15:00:00-06:00,r1i0n0,77685524.5
2019-04-02T16:00:00-06:00,r1i0n0,72972505.03
2019-04-02T17:00:00-06:00,r1i0n0,71625882.1
2019-04-02T18:00:00-06:00,r1i0n0,71916658.17
2019-04-02T19:00:00-06:00,r1i0n0,71881476.37
2019-04-02T20:00:00-06:00,r1i0n0,71908660.26
2019-04-02T21:00:00-06:00,r1i0n0,71882410.82
2019-04-02T22:00:00-06:00,r1i0n0,71855828.31
2019-04-02T23:00:00-06:00,r1i0n0,71542274.32
2019-04-03T00:00:00-06:00,r1i0n0,71597571.48
2019-04-03T01:00:00-06:00,r1i0n0,71566655.14
2019-04-03T02:00:00-06:00,r1i0n0,71802849.15
2019-04-03T03:00:00-06:00,r1i0n0,71478985.01
2019-04-03T04:00:00-06:00,r1i0n0,71523785.99
2019-04-03T05:00:00-06:00,r1i0n0,71403116.31
2019-04-03T06:00:00-06:00,r1i0n0,71671424
2019-04-03T07:00:00-06:00,r1i0n0,71631661.51
2019-04-03T08:00:00-06:00,r1i0n0,71574817.54
2019-04-03T09:00:00-06:00,r1i0n0,71549133.25
2019-04-03T10:00:00-06:00,r1i0n0,71552702.56
2019-04-03T11:00:00-06:00,r1i0n0,71523420.27
2019-04-03T12:00:00-06:00,r1i0n0,71554527.72
2019-04-03T13:00:00-06:00,r1i0n0,71820315.02
2019-04-03T14:00:00-06:00,r1i0n0,71234771.59
2019-04-03T15:00:00-06:00,r1i0n0,71196820.42
2019-04-03T16:00:00-06:00,r1i0n0,74476587.41
2019-04-03T17:00:00-06:00,r1i0n0,92641487.88
2019-04-03T18:00:00-06:00,r1i0n0,82512322.13
2019-04-03T19:00:00-06:00,r1i0n0,91219813.74
2019-04-03T20:00:00-06:00,r1i0n0,92607751.55
2019-04-03T21:00:00-06:00,r1i0n0,89418143.79
2019-04-03T22:00:00-06:00,r1i0n0,85279694.92
2019-04-03T23:00:00-06:00,r1i0n0,84997439.69
2019-04-04T00:00:00-06:00,r1i0n0,84897885
2019-04-04T01:00:00-06:00,r1i0n0,84834047.61
2019-04-04T02:00:00-06:00,r1i0n0,84761031.65
2019-04-04T03:00:00-06:00,r1i0n0,84664625.26
2019-04-04T04:00:00-06:00,r1i0n0,84566749.87
2019-04-04T05:00:00-06:00,r1i0n0,84468648.47
2019-04-04T06:00:00-06:00,r1i0n0,84385547.33
2019-04-04T07:00:00-06:00,r1i0n0,84315026.8
2019-04-04T08:00:00-06:00,r1i0n0,84242154.63
2019-04-04T09:00:00-06:00,r1i0n0,87212512
2019-04-04T10:00:00-06:00,r1i0n0,90844748.76
2019-04-04T11:00:00-06:00,r1i0n0,90078976.54
2019-04-04T12:00:00-06:00,r1i0n0,88302612.26
2019-04-04T13:00:00-06:00,r1i0n0,88141711.94
2019-04-04T14:00:00-06:00,r1i0n0,88029875.74
2019-04-04T15:00:00-06:00,r1i0n0,87913648.54
2019-04-04T16:00:00-06:00,r1i0n0,87797604.98
2019-04-04T17:00:00-06:00,r1i0n0,90803484.82
2019-04-04T18:00:00-06:00,r1i0n0,90610499.37
2019-04-04T19:00:00-06:00,r1i0n0,90519057.35
2019-04-04T20:00:00-06:00,r1i0n0,90990245.89
2019-04-04T21:00:00-06:00,r1i0n0,90911928.67
2019-04-04T22:00:00-06:00,r1i0n0,90933070.55
2019-04-04T23:00:00-06:00,r1i0n0,91345754.94
2019-04-05T00:00:00-06:00,r1i0n0,91219286.34
2019-04-05T01:00:00-06:00,r1i0n0,91156954.73
2019-04-05T02:00:00-06:00,r1i0n0,90793407.58
2019-04-05T03:00:00-06:00,r1i0n0,91709834.11
2019-04-05T04:00:00-06:00,r1i0n0,91057214.63
2019-04-05T05:00:00-06:00,r1i0n0,91027520.81
2019-04-05T06:00:00-06:00,r1i0n0,91025298.14
2019-04-05T07:00:00-06:00,r1i0n0,90984538.8
2019-04-05T08:00:00-06:00,r1i0n0,90984790.44
2019-04-05T09:00:00-06:00,r1i0n0,91003772.73
2019-04-05T10:00:00-06:00,r1i0n0,91110827.6
2019-04-05T11:00:00-06:00,r1i0n0,91110412.24
2019-04-05T12:00:00-06:00,r1i0n0,91110357.7
2019-04-05T13:00:00-06:00,r1i0n0,91108976.63
2019-04-05T14:00:00-06:00,r1i0n0,91106822.25
2019-04-05T15:00:00-06:00,r1i0n0,91106106.15
2019-04-05T16:00:00-06:00,r1i0n0,91106220.66
2019-04-05T17:00:00-06:00,r1i0n0,91106834.99
2019-04-05T18:00:00-06:00,r1i0n0,91108113.76
2019-04-05T19:00:00-06:00,r1i0n0,91106912.66
2019-04-05T20:00:00-06:00,r1i0n0,91106835.38
2019-04-05T21:00:00-06:00,r1i0n0,91107603.37
2019-04-05T22:00:00-06:00,r1i0n0,91463043.87
2019-04-05T23:00:00-06:00,r1i0n0,91076306.36
2019-04-06T00:00:00-06:00,r1i0n0,90885506.45
2019-04-06T01:00:00-06:00,r1i0n0,90548232.18
2019-04-06T02:00:00-06:00,r1i0n0,88442474.96
2019-04-06T03:00:00-06:00,r1i0n0,87952556.95
2019-04-06T04:00:00-06:00,r1i0n0,87702254.5
2019-04-06T05:00:00-06:00,r1i0n0,87666876.63
2019-04-06T06:00:00-06:00,r1i0n0,87672095.2
2019-04-06T07:00:00-06:00,r1i0n0,87638446.66
2019-04-06T08:00:00-06:00,r1i0n0,87591129.3
2019-04-06T09:00:00-06:00,r1i0n0,87553590.99
2019-04-06T10:00:00-06:00,r1i0n0,87493344.5
2019-04-06T11:00:00-06:00,r1i0n0,91776839.7
2019-04-06T12:00:00-06:00,r1i0n0,91285507.31
2019-04-06T13:00:00-06:00,r1i0n0,91188277.63
2019-04-06T14:00:00-06:00,r1i0n0,91379188.72
2019-04-06T15:00:00-06:00,r1i0n0,91392006.19
2019-04-06T16:00:00-06:00,r1i0n0,91208682.42
2019-04-06T17:00:00-06:00,r1i0n0,88238980.9
2019-04-06T18:00:00-06:00,r1i0n0,91615528.73
2019-04-06T19:00:00-06:00,r1i0n0,89806188.64
2019-04-06T20:00:00-06:00,r1i0n0,89570729.26
2019-04-06T21:00:00-06:00,r1i0n0,87999241.93
2019-04-06T22:00:00-06:00,r1i0n0,87991219.79
2019-04-06T23:00:00-06:00,r1i0n0,92341872.38
2019-04-07T00:00:00-06:00,r1i0n0,91263262.01
2019-04-07T01:00:00-06:00,r1i0n0,89814532.95
2019-04-07T02:00:00-06:00,r1i0n0,89778754.96
2019-04-07T03:00:00-06:00,r1i0n0,90933926.43
2019-04-07T04:00:00-06:00,r1i0n0,89832283.86
2019-04-07T05:00:00-06:00,r1i0n0,89144418.28
2019-04-07T06:00:00-06:00,r1i0n0,88783895.95
2019-04-07T07:00:00-06:00,r1i0n0,88886178.91
2019-04-07T08:00:00-06:00,r1i0n0,88826055.1
2019-04-07T09:00:00-06:00,r1i0n0,88539688.48
2019-04-07T10:00:00-06:00,r1i0n0,88281749.26
2019-04-07T11:00:00-06:00,r1i0n0,88282792.36
2019-04-07T12:00:00-06:00,r1i0n0,89578277.17
2019-04-07T13:00:00-06:00,r1i0n0,91332415.14
2019-04-07T14:00:00-06:00,r1i0n0,92404597.27
2019-04-07T15:00:00-06:00,r1i0n0,87427635.29
2019-04-07T16:00:00-06:00,r1i0n0,85690719.8
2019-04-07T17:00:00-06:00,r1i0n0,85456940.59
2019-04-07T18:00:00-06:00,r1i0n0,85719088.54
2019-04-07T19:00:00-06:00,r1i0n0,85564881.08
2019-04-07T20:00:00-06:00,r1i0n0,85666897.1
2019-04-07T21:00:00-06:00,r1i0n0,85688064.47
2019-04-07T22:00:00-06:00,r1i0n0,85514111.67
2019-04-07T23:00:00-06:00,r1i0n0,85698552.25
2019-04-01T00:00:00-06:00,r1i0n1,92736502.67
2019-04-01T01:00:00-06:00,r1i0n1,92736988.38
2019-04-01T02:00:00-06:00,r1i0n1,92736385.96
2019-04-01T03:00:00-06:00,r1i0n1,92737148.73
2019-04-01T04:00:00-06:00,r1i0n1,92736085.42
2019-04-01T05:00:00-06:00,r1i0n1,92737194.32
2019-04-01T06:00:00-06:00,r1i0n1,92737035.11
2019-04-01T07:00:00-06:00,r1i0n1,92737908.01
2019-04-01T08:00:00-06:00,r1i0n1,92737971.71
2019-04-01T09:00:00-06:00,r1i0n1,92600586.97
2019-04-01T10:00:00-06:00,r1i0n1,84192959.99
2019-04-01T11:00:00-06:00,r1i0n1,92735615.13
2019-04-01T12:00:00-06:00,r1i0n1,92740309.32
2019-04-01T13:00:00-06:00,r1i0n1,92741024.14
2019-04-01T14:00:00-06:00,r1i0n1,92741535.21
2019-04-01T15:00:00-06:00,r1i0n1,86255894.49
2019-04-01T16:00:00-06:00,r1i0n1,87058681.77
2019-04-01T17:00:00-06:00,r1i0n1,92765400.35
2019-04-01T18:00:00-06:00,r1i0n1,92761944.79
2019-04-01T19:00:00-06:00,r1i0n1,92758999.36
2019-04-01T20:00:00-06:00,r1i0n1,92758583.15
2019-04-01T21:00:00-06:00,r1i0n1,92758091.32
2019-04-01T22:00:00-06:00,r1i0n1,92757686.59
2019-04-01T23:00:00-06:00,r1i0n1,92755956.08
2019-04-02T00:00:00-06:00,r1i0n1,92755391.69
2019-04-02T01:00:00-06:00,r1i0n1,92754348.07
2019-04-02T02:00:00-06:00,r1i0n1,92755089.25
2019-04-02T03:00:00-06:00,r1i0n1,92754945.16
2019-04-02T04:00:00-06:00,r1i0n1,92754935.27
2019-04-02T05:00:00-06:00,r1i0n1,92753504.78
2019-04-02T06:00:00-06:00,r1i0n1,92753902.95
2019-04-02T07:00:00-06:00,r1i0n1,92753749.49
2019-04-02T08:00:00-06:00,r1i0n1,92753624.84
2019-04-02T09:00:00-06:00,r1i0n1,92753897.6
2019-04-02T10:00:00-06:00,r1i0n1,92752521.06
2019-04-02T11:00:00-06:00,r1i0n1,92752526.83
2019-04-02T12:00:00-06:00,r1i0n1,92752877.17
2019-04-02T13:00:00-06:00,r1i0n1,92750505.2
2019-04-02T14:00:00-06:00,r1i0n1,92752137.31
