Number_of_Cycles,PDF_of_Failure_at_x,CDF_of_Failure_at_x,Survival_at_x,Hazard_at_x,Cumulative_Hazard_at_x,Filter
3372.83,0.009380144,63.21205588,36.78794412,0.275790453,1169904.624,0
50,0.044766966,2.637831352,97.36216865,0.497327702,31274.43212,1
300,0.031580718,11.73353226,88.26646774,0.386991544,146015.6842,2
550,0.026636853,18.95794129,81.04205871,0.355506606,245916.2014,3
800,0.02333414,25.18284634,74.81715366,0.337338456,339416.2396,4
1050,0.02080946,30.68869122,69.31130878,0.324737131,428842.7043,0
1300,0.018757614,35.6266022,64.3733978,0.315171096,515307.5574,1
1550,0.017031144,40.09445261,59.90554739,0.307504881,599460.3863,2
1800,0.015545814,44.16218894,55.83781106,0.301134352,681725.5692,3
2050,0.014248118,47.88295064,52.11704936,0.29570108,762401.1616,4
2300,0.013101496,51.29880999,48.70119001,0.290975588,841707.4434,0
2550,0.012079598,54.44407458,45.55592542,0.28680243,919813.5097,1
2800,0.011162647,57.34734236,42.65265764,0.283071618,996853.0357,2
3050,0.01033533,60.03285893,39.96714107,0.279702581,1072934.205,3
3300,0.009585482,62.52145669,37.47854331,0.276634601,1148146.264,4
3550,0.008903247,64.83122971,35.16877029,0.27382083,1222564.026,0
3800,0.008280498,66.9780338,33.0219662,0.271224394,1296251.052,1
4050,0.00771044,68.97586673,31.02413327,0.268815773,1369261.978,2
4300,0.007187327,70.83716365,29.16283635,0.266570979,1441644.238,3
4550,0.006706245,72.57303097,27.42696903,0.264470268,1513439.379,4
4800,0.00626296,74.19343452,25.80656548,0.262497202,1584684.073,0
5050,0.005853792,75.7073529,24.2926471,0.260637954,1655410.913,1
5300,0.005475522,77.1229042,22.8770958,0.258880793,1725649.05,2
5550,0.005125318,78.44745167,21.55254833,0.257215676,1795424.695,3
5800,0.004800678,79.68769277,20.31230723,0.255633951,1864761.539,4
6050,0.004499376,80.84973477,19.15026523,0.254128105,1933681.094,0
6300,0.004219427,81.93915953,18.06084047,0.252691582,2002202.97,1
6550,0.003959055,82.96107924,17.03892076,0.251318622,2070345.119,2
6800,0.003716662,83.9201848,16.0798152,0.250004142,2138124.026,3
7050,0.003490808,84.82078799,15.17921201,0.248743634,2205554.884,4
7300,0.003280193,85.66685839,14.33314161,0.247533083,2272651.733,0
7550,0.003083638,86.46205589,13.53794411,0.246368896,2339427.589,1
7800,0.002900071,87.20975945,12.79024055,0.245247849,2405894.543,2
8050,0.002728519,87.91309253,12.08690747,0.244167034,2472063.862,3
8300,0.002568092,88.57494587,11.42505413,0.243123824,2537946.064,4
8550,0.002417977,89.19799767,10.80200233,0.242115835,2603550.989,0
8800,0.002277432,89.78473181,10.21526819,0.2411409,2668887.864,1
9050,0.002145774,90.33745414,9.662545861,0.240197039,2733965.355,2
9300,0.002022378,90.85830715,9.141692846,0.239282445,2798791.618,3
9550,0.001906667,91.34928328,8.650716721,0.238395459,2863374.338,4
9800,0.001798112,91.81223686,8.187763143,0.237534557,2927720.771,0
10050,0.001696226,92.24889502,7.751104976,0.236698335,2991837.779,1
10300,0.001600555,92.66086759,7.339132406,0.235885497,3055731.858,2
10550,0.001510686,93.04965605,6.95034395,0.235094845,3119409.167,3
10800,0.001426232,93.41666174,6.583338259,0.23432527,3182875.553,4
11050,0.001346836,93.76319337,6.236806634,0.233575739,3246136.574,0
11300,0.001272169,94.09047382,5.909526181,0.232845296,3309197.52,1
11550,0.001201925,94.39964645,5.600353545,0.232133048,3372063.43,2
11800,0.001135818,94.69178084,5.308219165,0.231438161,3434739.109,3
12050,0.001073584,94.96787801,5.032121993,0.230759859,3497229.146,4
12300,0.001014979,95.22887535,4.771124652,0.230097413,3559537.926,0
12550,0.000959774,95.47565104,4.524348964,0.229450141,3621669.644,1
12800,0.000907757,95.70902815,4.290971846,0.228817405,3683628.316,2
13050,0.000858728,95.92977849,4.070221513,0.228198602,3745417.789,3
13300,0.000812505,96.13862602,3.861373982,0.227593168,3807041.754,4
13550,0.000768914,96.33625017,3.663749833,0.227000571,3868503.754,0
13800,0.000727795,96.52328878,3.476711221,0.226420309,3929807.192,1
14050,0.000688997,96.70034089,3.299659107,0.225851909,3990955.337,2
14300,0.000652382,96.8679693,3.132030695,0.225294923,4051951.338,3
14550,0.000617818,97.02670295,2.973297051,0.22474893,4112798.221,4
14800,0.000585183,97.1770391,2.8229609,0.224213527,4173498.906,0
15050,0.000554361,97.31944542,2.680554576,0.223688337,4234056.205,1
15300,0.000525246,97.45436188,2.545638122,0.223173,4294472.829,2
15550,0.000497738,97.58220248,2.417797522,0.222667173,4354751.396,3
15800,0.000471742,97.70335695,2.296643051,0.222170534,4414894.435,4
16050,0.000447171,97.81819225,2.181807747,0.221682773,4474904.387,0
16300,0.000423941,97.92705401,2.072945986,0.221203598,4534783.613,1
16550,0.000401975,98.03026785,1.969732148,0.220732728,4594534.397,2
16800,0.0003812,98.12814062,1.871859382,0.220269899,4654158.947,3
17050,0.000361549,98.22096155,1.779038449,0.219814855,4713659.405,4
17300,0.000342957,98.30900336,1.690996641,0.219367354,4773037.841,0
17550,0.000325364,98.39252322,1.607476775,0.218927166,4832296.264,1
17800,0.000308713,98.47176375,1.528236252,0.218494068,4891436.622,2
18050,0.000292952,98.54695382,1.453046176,0.21806785,4950460.803,3
18300,0.000278029,98.61830947,1.38169053,0.21764831,5009370.639,4
18550,0.0002639,98.68603459,1.313965411,0.217235253,5068167.91,0
18800,0.000250518,98.7503217,1.249678305,0.216828493,5126854.344,1
19050,0.000237843,98.81135259,1.188647413,0.216427854,5185431.62,2
19300,0.000225836,98.86929898,1.130701023,0.216033165,5243901.369,3
19550,0.000214459,98.92432309,1.075676914,0.215644261,5302265.177,4
19800,0.000203678,98.9765782,1.023421804,0.215260986,5360524.588,0
20050,0.000193461,99.02620917,0.973790829,0.214883188,5418681.104,1
20300,0.000183776,99.07335295,0.926647054,0.214510723,5476736.185,2
20550,0.000174594,99.11813898,0.881861018,0.21414345,5534691.255,3
20800,0.000165889,99.1606897,0.839310301,0.213781236,5592547.699,4
21050,0.000157634,99.20112088,0.798879123,0.213423952,5650306.868,0
21300,0.000149805,99.23954204,0.760457964,0.213071472,5707970.077,1
21550,0.000142379,99.27605679,0.72394321,0.212723678,5765538.611,2
21800,0.000135334,99.31076318,0.689236815,0.212380453,5823013.719,3
22050,0.000128651,99.34375401,0.656245992,0.212041686,5880396.623,4
22300,0.000122309,99.37511709,0.624882909,0.211707269,5937688.512,0
22550,0.000116291,99.40493558,0.595064421,0.2113771,5994890.551,1
22800,0.000110579,99.4332882,0.5667118,0.211051077,6052003.872,2
23050,0.000105158,99.46024951,0.539750495,0.210729104,6109029.585,3
23300,0.000100011,99.4858901,0.514109896,0.210411088,6165968.772,4
23550,9.51E-05,99.51027688,0.489723117,0.210096938,6222822.49,0
23800,9.05E-05,99.53347321,0.466526793,0.209786568,6279591.774,1
24050,8.61E-05,99.55553912,0.444460884,0.209479891,6336277.633,2
24300,8.19E-05,99.57653151,0.423468493,0.209176828,6392881.055,3
24550,7.79E-05,99.59650431,0.403495694,0.208877298,6449403.007,4
