Number_of_Cycles,PDF_of_Failure_at_x,CDF_of_Failure_at_x,Survival_at_x,Hazard_at_x,Cumulative_Hazard_at_x
5758.45,0.007474563,63.21205588,36.78794412,5.098445882,629673048.1
50,0.00903172,0.386719655,99.61328035,2.275153812,2439790.059
300,0.011913714,3.103461994,96.89653801,3.085293435,19851321.38
550,0.012783917,6.206232874,93.79376713,3.420168627,40344273.47
800,0.013152775,9.455143632,90.54485637,3.645114371,62542154.36
1050,0.013271972,12.76214525,87.23785475,3.817579084,85970416.79
1300,0.013239493,16.07860575,83.92139425,3.958733185,110375141.8
1550,0.013105768,19.37350664,80.62649336,4.078892414,135595613.1
1800,0.012900958,22.62559319,77.37440681,4.183908591,161520028.8
2050,0.012644885,25.81972962,74.18027038,4.277440904,188065689.1
2300,0.012351426,28.9449302,71.0550698,4.36193906,215168712.1
2550,0.012030747,31.99318111,68.00681889,4.439128251,242778130.8
2800,0.011690538,34.95868104,65.04131896,4.510271933,270852250.8
3050,0.011336761,37.83732306,62.16267694,4.576324736,299356273.8
3300,0.010974118,40.6263253,59.3736747,4.638026562,328260677.8
3550,0.010606367,43.32395822,56.67604178,4.695963166,357540073.7
3800,0.010236541,45.92933731,54.07066269,4.750606659,387172373
4050,0.0098671,48.44226189,51.55773811,4.802343443,417138168
4300,0.009500048,50.86308733,49.13691267,4.851494007,447420259.5
4550,0.00913702,53.19262211,46.80737789,4.898327282,478003290.7
4800,0.008779343,55.43204389,44.56795611,4.943071268,508873458.8
5050,0.008428097,57.58283023,42.41716977,4.985921035,540018284.3
5300,0.008084148,59.64670103,40.35329897,5.027044846,571426424.7
5550,0.007748186,61.62557024,38.37442976,5.066588918,603087521.5
5800,0.007420753,63.52150521,36.47849479,5.104681155,634992074.5
6050,0.007102263,65.33669228,34.66330772,5.141434121,667131336.2
6300,0.006793022,67.07340754,32.92659246,5.176947433,699497223.8
6550,0.006493245,68.73399195,31.26600805,5.211309692,732082243.6
6800,0.006203068,70.32083011,29.67916989,5.244600076,764879427.6
7050,0.005922563,71.83633221,28.16366779,5.276889642,797882278.4
7300,0.00565174,73.28291858,26.71708142,5.308242416,831084722
7550,0.005390566,74.66300654,25.33699346,5.338716306,864481066
7800,0.005138963,75.9789993,24.0210007,5.368363862,898065964.4
8050,0.00489682,77.23327645,22.76672355,5.39723293,931834385.7
8300,0.004663997,78.42818603,21.57181397,5.4253672,965781585.3
8550,0.004440329,79.56603787,20.43396213,5.452806686,999903080.9
8800,0.004225631,80.64909802,19.35090198,5.479588127,1034194631
9050,0.004019702,81.67958419,18.32041581,5.505745344,1068652214
9300,0.003822328,82.65966209,17.34033791,5.531309541,1103272015
9550,0.003633284,83.59144242,16.40855758,5.556309576,1138050403
9800,0.003452336,84.47697859,15.52302141,5.580772188,1172983926
10050,0.003279245,85.31826502,14.68173498,5.60472221,1208069290
10300,0.00311377,86.11723589,13.88276411,5.628182739,1243303354
10550,0.002955665,86.87576437,13.12423563,5.651175307,1278683114
10800,0.002804684,87.59566217,12.40433783,5.67372001,1314205699
11050,0.002660581,88.27867952,11.72132048,5.695835644,1349868359
11300,0.002523111,88.92650531,11.07349469,5.717539809,1385668458
11550,0.002392032,89.54076758,10.45923242,5.738849017,1421603467
11800,0.002267106,90.12303417,9.876965828,5.759778773,1457670957
12050,0.002148096,90.67481354,9.325186459,5.780343664,1493868594
12300,0.002034771,91.19755578,8.802444223,5.800557426,1530194134
12550,0.001926904,91.69265371,8.307346294,5.82043301,1566645413
12800,0.001824274,92.16144412,7.838555885,5.839982646,1603220350
13050,0.001726665,92.60520906,7.394790937,5.859217891,1639916936
13300,0.001633865,93.02517726,6.974822741,5.878149681,1676733233
13550,0.001545671,93.4225255,6.577474502,5.896788374,1713667371
13800,0.001461884,93.79838014,6.20161986,5.915143792,1750717542
14050,0.00138231,94.15381861,5.846181391,5.933225258,1787881999
14300,0.001306764,94.48987092,5.510129075,5.951041627,1825159050
14550,0.001235065,94.80752124,5.192478762,5.96860132,1862547059
14800,0.001167038,95.10770937,4.892290633,5.985912351,1900044442
15050,0.001102516,95.39133234,4.608667663,6.002982354,1937649663
15300,0.001041336,95.6592459,4.340754102,6.019818607,1975361233
15550,0.000983343,95.91226604,4.087733959,6.036428051,2013177707
15800,0.000928386,96.15117048,3.848829517,6.052817318,2051097683
16050,0.000876321,96.37670013,3.623299865,6.06899274,2089119800
16300,0.00082701,96.58956054,3.410439464,6.084960375,2127242737
16550,0.000780318,96.79042327,3.209576729,6.100726019,2165465206
16800,0.000736119,96.97992734,3.020072663,6.116295219,2203785960
17050,0.000694291,97.1586805,2.841319503,6.131673295,2242203782
17300,0.000654716,97.32726058,2.672739419,6.146865343,2280717490
17550,0.000617281,97.48621676,2.513783239,6.161876253,2319325931
17800,0.000581881,97.63607079,2.363929213,6.176710721,2358027985
18050,0.000548412,97.77731818,2.222681818,6.191373255,2396822559
18300,0.000516776,97.9104294,2.089570596,6.205868188,2435708587
18550,0.000486879,98.03585096,1.964149036,6.220199688,2474685033
18800,0.000458633,98.15400651,1.845993489,6.234371762,2513750882
19050,0.000431952,98.26529788,1.734702122,6.248388269,2552905147
19300,0.000406755,98.37010609,1.629893913,6.262252925,2592146864
19550,0.000382963,98.46879232,1.531207679,6.275969311,2631475092
19800,0.000360505,98.56169886,1.438301142,6.289540878,2670888910
20050,0.000339309,98.64914997,1.350850034,6.302970955,2710387423
20300,0.000319308,98.73145277,1.268547232,6.316262754,2749969751
20550,0.000300438,98.80889807,1.19110193,6.329419376,2789635037
20800,0.00028264,98.88176115,1.118238848,6.342443815,2829382442
21050,0.000265855,98.95030253,1.049697469,6.355338965,2869211148
21300,0.000250029,99.01476869,0.985231307,6.36810762,2909120350
21550,0.00023511,99.07539278,0.924607217,6.380752487,2949109265
21800,0.000221049,99.13239528,0.867604719,6.393276179,2989177123
22050,0.000207798,99.18598464,0.814015364,6.405681229,3029323173
22300,0.000195312,99.23635788,0.763642124,6.417970085,3069546678
22550,0.000183551,99.28370119,0.716298806,6.430145122,3109846918
22800,0.000172474,99.3281905,0.6718095,6.442208637,3150223184
23050,0.000162042,99.36999196,0.630008045,6.454162858,3190674784
23300,0.000152221,99.40926248,0.590737524,6.466009946,3231201040
23550,0.000142975,99.44615022,0.553849783,6.477751994,3271801286
23800,0.000134272,99.48079503,0.519204968,6.489391034,3312474869
24050,0.000126082,99.51332891,0.48667109,6.500929038,3353221150
24300,0.000118376,99.54387639,0.456123606,6.512367919,3394039500
24550,0.000111126,99.57255497,0.427445027,6.523709536,3434929305
24800,0.000104307,99.59947547,0.400524532,6.534955694,3475889958
25050,9.79E-05,99.62474238,0.375257618,6.546108146,3516920868
25300,9.19E-05,99.64845424,0.351545756,6.557168597,3558021451
25550,8.62E-05,99.67070394,0.329296065,6.568138704,3599191136
25800,8.09E-05,99.69157899,0.308421006,6.579020078,3640429360
26050,7.59E-05,99.71116191,0.288838091,6.589814285,3681735572
26300,7.11E-05,99.7295304,0.270469603,6.600522852,3723109231
26550,6.67E-05,99.74675766,0.253242335,6.611147262,3764549803
26800,6.26E-05,99.76291266,0.237087341,6.621688959,3806056766
27050,5.87E-05,99.7780603,0.221939696,6.63214935,3847629604
27300,5.50E-05,99.79226173,0.207738275,6.642529805,3889267812
27550,5.15E-05,99.80557446,0.194425539,6.652831658,3930970893
27800,4.83E-05,99.81805267,0.181947333,6.66305621,3972738357
28050,4.53E-05,99.8297473,0.170252698,6.673204729,4014569724
28300,4.24E-05,99.84070631,0.159293687,6.68327845,4056464521
28550,3.98E-05,99.8509748,0.149025195,6.693278577,4098422282
28800,3.72E-05,99.8605952,0.139404798,6.703206286,4140442549
29050,3.49E-05,99.8696074,0.130392599,6.713062723,4182524872
29300,3.27E-05,99.87804891,0.121951085,6.722849006,4224668807
29550,3.06E-05,99.88595501,0.114044988,6.732566228,4266873917
29800,2.87E-05,99.89335885,0.106641155,6.742215453,4309139773
30050,2.68E-05,99.90029157,0.099708429,6.751797722,4351465951
30300,2.51E-05,99.90678247,0.093217529,6.761314051,4393852034
30550,2.35E-05,99.91285906,0.087140945,6.770765431,4436297612
30800,2.20E-05,99.91854717,0.081452832,6.780152834,4478802280
31050,2.06E-05,99.92387109,0.076128914,6.789477204,4521365640
31300,1.93E-05,99.92885361,0.07114639,6.798739469,4563987300
31550,1.80E-05,99.93351615,0.066483849,6.807940533,4606666872
31800,1.69E-05,99.93787881,0.06212119,6.81708128,4649403976
32050,1.58E-05,99.94196046,0.058039539,6.826162576,4692198236
32300,1.48E-05,99.94577882,0.054221182,6.835185267,4735049282
32550,1.38E-05,99.94935051,0.050649491,6.844150179,4777956748
32800,1.29E-05,99.95269113,0.047308865,6.853058122,4820920275
33050,1.21E-05,99.95581534,0.044184663,6.861909889,4863939507
33300,1.13E-05,99.95873685,0.041263151,6.870706255,4907014096
33550,1.06E-05,99.96146856,0.038531445,6.879447978,4950143695
33800,9.88E-06,99.96402254,0.035977459,6.888135802,4993327964
34050,9.23E-06,99.96641014,0.033589861,6.896770453,5036566567
34300,8.63E-06,99.96864198,0.031358023,6.905352644,5079859174
34550,8.07E-06,99.97072802,0.029271982,6.913883073,5123205457
34800,7.54E-06,99.9726776,0.027322396,6.922362423,5166605093
35050,7.04E-06,99.97449949,0.025500509,6.930791363,5210057764
35300,6.58E-06,99.97620188,0.023798115,6.93917055,5253563157
35550,6.15E-06,99.97779248,0.022207523,6.947500626,5297120961
35800,5.74E-06,99.97927847,0.020721527,6.955782222,5340730869
36050,5.37E-06,99.98066663,0.019333374,6.964015956,5384392580
36300,5.01E-06,99.98196326,0.018036739,6.972202432,5428105795
36550,4.68E-06,99.9831743,0.016825697,6.980342246,5471870220
36800,4.37E-06,99.9843053,0.015694699,6.988435978,5515685564
37050,4.08E-06,99.98536145,0.014638548,6.996484202,5559551540
37300,3.81E-06,99.98634762,0.013652378,7.004487477,5603467863
37550,3.56E-06,99.98726837,0.012731631,7.012446352,5647434254
37800,3.32E-06,99.98812796,0.011872043,7.020361368,5691450435
38050,3.10E-06,99.98893038,0.01106962,7.028233054,5735516134
38300,2.89E-06,99.98967937,0.010320625,7.036061929,5779631080
38550,2.70E-06,99.99037844,0.009621561,7.043848504,5823795006
38800,2.52E-06,99.99103085,0.008969153,7.051593278,5868007649
39050,2.35E-06,99.99163966,0.00836034,7.059296744,5912268747
39300,2.19E-06,99.99220774,0.007792255,7.066959384,5956578042
39550,2.05E-06,99.99273778,0.007262219,7.074581673,6000935282
39800,1.91E-06,99.99323228,0.006767724,7.082164075,6045340213
40050,1.78E-06,99.99369358,0.006306424,7.089707049,6089792587
40300,1.66E-06,99.99412387,0.005876127,7.097211042,6134292158
40550,1.55E-06,99.99452522,0.005474782,7.104676498,6178838683
40800,1.45E-06,99.99489953,0.005100471,7.112103849,6223431921
41050,1.35E-06,99.9952486,0.0047514,7.119493522,6268071635
41300,1.26E-06,99.99557411,0.004425894,7.126845935,6312757590
41550,1.17E-06,99.99587761,0.004122387,7.134161501,6357489553
41800,1.09E-06,99.99616059,0.003839414,7.141440623,6402267295
42050,1.02E-06,99.99642439,0.003575606,7.148683701,6447090587
42300,9.50E-07,99.99667032,0.003329685,7.155891124,6491959206
42550,8.85E-07,99.99689954,0.003100456,7.163063278,6536872928
42800,8.25E-07,99.9971132,0.002886801,7.170200541,6581831534
43050,7.69E-07,99.99731232,0.00268768,7.177303285,6626834805
43300,7.16E-07,99.99749788,0.002502116,7.184371876,6671882528
43550,6.68E-07,99.9976708,0.002329201,7.191406675,6716974487
43800,6.22E-07,99.99783192,0.002168083,7.198408034,6762110473
44050,5.79E-07,99.99798203,0.00201797,7.205376303,6807290277
44300,5.40E-07,99.99812188,0.001878121,7.212311825,6852513692
44550,5.03E-07,99.99825216,0.001747843,7.219214936,6897780514
44800,4.68E-07,99.99837351,0.00162649,7.22608597,6943090541
45050,4.36E-07,99.99848654,0.001513459,7.232925252,6988443572
45300,4.06E-07,99.99859181,0.001408188,7.239733105,7033839409
45550,3.78E-07,99.99868985,0.00131015,7.246509845,7079277857
